first_name,second_name,team_name,player_pos,minutes_played,goals_scored,goals_conceded,assists,clean_sheets,penalties_missed,penalties_saved,num_saves,own_goals,yellow_cards,red_cards,points_per_game,total_bonus_pts,total_points,bps_system,form,in_dreamteam,selected_by_percent,creativity,ict_index,influence,threat,status,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,news,news_added,current_cost,web_name,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,player_code,player_id,special,Mins_Per_90,Goals_Per_90,Assists_Per_90
Shkodran,Mustafi,Arsenal,Defender,620,0,9,2,2,0,0,0,0,0,0,3.2,1,26,144,['form'],FALSE,0.4,15.4,29.8,174.2,107,available,100,100,0,0,-0.4,0.4,0,0,0,0,N/A,2020-02-27T23:00:18.104137Z,5.1,Mustafi,15418,0,38422,0,0,5.1,69140,1,FALSE,6.8889,0,0.2903
Hector,Bellerin,Arsenal,Defender,623,1,10,0,2,0,0,0,0,2,0,3.1,3,25,116,['form'],FALSE,1.2,37.7,19.5,117.6,38,available,100,100,0,0,0,0,0,0,0,0,N/A,2019-12-09T20:00:21.228098Z,5.5,Bellerin,141114,0,74300,0,0,4.5,98745,2,FALSE,6.9222,0.1445,0
Sead,Kolasinac,Arsenal,Defender,1103,0,19,2,2,0,0,0,0,3,0,2.1,1,35,222,['form'],FALSE,0.5,157.3,41.2,190,67,available,100,100,0,0,-0.3,0.3,0,0,0,0,N/A,2020-02-23T18:30:13.672943Z,5.2,Kolasinac,55476,0,127776,0,0,6.7,111457,3,FALSE,12.2556,0,0.1632
Ainsley,Maitland-Niles,Arsenal,Defender,1210,0,19,2,3,0,0,0,0,3,1,2.6,3,36,216,['form'],FALSE,2.3,155.4,44.9,261.8,37,available,100,100,0,0,-0.5,0.5,1,0,0,0,N/A,2019-09-22T18:00:10.824841Z,4.5,Maitland-Niles,591961,0,629865,0,0,8,154043,4,FALSE,13.4444,0,0.1488
Sokratis,Papastathopoulos,Arsenal,Defender,1696,2,25,0,4,0,0,0,0,6,0,3,5,57,305,['form'],FALSE,1.4,36.8,58.5,436.2,110,available,100,100,0,0,-0.2,0.2,1,0,0,0,N/A,2020-02-21T01:30:19.929771Z,4.8,Sokratis,152283,0,194080,0,0,11.9,39476,5,FALSE,18.8444,0.1061,0
Nacho,Monreal,Arsenal,Defender,270,0,4,0,1,0,0,0,0,0,0,3.3,1,10,54,['form'],FALSE,0.2,40.8,10,47.2,12,unavailable,0,0,0,0,0,0,0,0,0,0,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,5,Monreal,28185,0,89016,0,0,2,38411,6,FALSE,3,0,0
Laurent,Koscielny,Arsenal,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['form'],FALSE,0.1,0,0,0,0,unavailable,0,0,0,0,0,0,0,0,0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,5,Koscielny,655,0,12740,0,0,0,51507,7,FALSE,0,0,0
Konstantinos,Mavropanos,Arsenal,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['form'],FALSE,0,0,0,0,0,not available,0,0,0,0,-0.2,0.2,0,0,0,0,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Jul,2020-01-13T14:30:21.309535Z,4.3,Mavropanos,1115,0,4924,0,0,0,233963,8,FALSE,0,0,0
Carl,Jenkinson,Arsenal,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['form'],FALSE,0,0,0,0,0,unavailable,0,0,0,0,0,0,0,0,0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,4.5,Jenkinson,448,0,2622,0,0,0,80254,9,FALSE,0,0,0
Rob,Holding,Arsenal,Defender,85,0,3,0,0,0,0,0,0,0,0,1,0,2,13,['form'],FALSE,0.1,0.4,1.6,13.4,2,available,100,100,0,0,-0.1,0.1,0,0,0,0,N/A,2019-12-09T10:00:19.335279Z,4.4,Holding,12164,0,15017,0,0,0.5,156074,10,FALSE,0.9444,0,0
