minutes_played,goals_scored,goals_conceded,assists,clean_sheets,penalties_missed,penalties_saved,num_saves,own_goals,yellow_cards,red_cards,points_per_game,total_bonus_pts,total_points,bps_system,selected_by_percent,creativity,ict_index,influence,threat,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,current_cost,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,player_code,player_id,Mins_Per_90,Goals_Per_90,Assists_Per_90
620,0,9,2,2,0,0,0,0,0,0,3.2,1,26,144,0.4,15.4,29.8,174.2,107,100,100,0,0,-0.4,0.4,0,0,0,0,5.1,15418,0,38422,0,0,5.1,69140,1,6.8889,0,0.2903
623,1,10,0,2,0,0,0,0,2,0,3.1,3,25,116,1.2,37.7,19.5,117.6,38,100,100,0,0,0,0,0,0,0,0,5.5,141114,0,74300,0,0,4.5,98745,2,6.9222,0.1445,0
1103,0,19,2,2,0,0,0,0,3,0,2.1,1,35,222,0.5,157.3,41.2,190,67,100,100,0,0,-0.3,0.3,0,0,0,0,5.2,55476,0,127776,0,0,6.7,111457,3,12.2556,0,0.1632
1210,0,19,2,3,0,0,0,0,3,1,2.6,3,36,216,2.3,155.4,44.9,261.8,37,100,100,0,0,-0.5,0.5,1,0,0,0,4.5,591961,0,629865,0,0,8,154043,4,13.4444,0,0.1488
1696,2,25,0,4,0,0,0,0,6,0,3,5,57,305,1.4,36.8,58.5,436.2,110,100,100,0,0,-0.2,0.2,1,0,0,0,4.8,152283,0,194080,0,0,11.9,39476,5,18.8444,0.1061,0
270,0,4,0,1,0,0,0,0,0,0,3.3,1,10,54,0.2,40.8,10,47.2,12,0,0,0,0,0,0,0,0,0,0,5,28185,0,89016,0,0,2,38411,6,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,655,0,12740,0,0,0,51507,7,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0.2,0,0,0,0,4.3,1115,0,4924,0,0,0,233963,8,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,448,0,2622,0,0,0,80254,9,0,0,0
85,0,3,0,0,0,0,0,0,0,0,1,0,2,13,0.1,0.4,1.6,13.4,2,100,100,0,0,-0.1,0.1,0,0,0,0,4.4,12164,0,15017,0,0,0.5,156074,10,0.9444,0,0
2303,17,33,3,7,0,0,0,0,3,1,5.8,29,152,601,27.5,383.2,210.9,742.8,985,100,100,0,0,0.1,-0.1,3,0,0,0,11.1,3119349,0,2991458,0,0,13.7,54694,11,25.5889,0.6644,0.1172
