Rank,Player,Goals,Season
1,Teddy Sheringham,22,1992
2,Les Ferdinand,20,1992
3,Dean Holdsworth,19,1992
4,Mick Quinn,17,1992
5,Alan Shearer,16,1992
5,David White,16,1992
7,Chris Armstrong,15,1992
7,Eric Cantona,15,1992
7,Lee Chapman,15,1992
7,Brian Deane,15,1992
7,Mark Hughes,15,1992
7,Matthew Le Tissier,15,1992
7,Ian Wright,15,1992
14,Mark Robins,14,1992
14,Ian Rush,14,1992
14,Dean Saunders,14,1992
17,Mike Newell,13,1992
17,Paul Wilkinson,13,1992
19,Mark Bright,12,1992
19,Tony Cottee,12,1992
19,Ian Olney,12,1992
22,Dalian Atkinson,11,1992
22,Iain Dowie,11,1992
22,Kevin Gallacher,11,1992
22,David Hirst,11,1992
22,Mike Sheron,11,1992
22,Mark Walters,11,1992
28,Bradley Allen,10,1992
28,Peter Beardsley,10,1992
28,Nigel Clough,10,1992
28,Chris Kiwomya,10,1992
32,Neil Adams,9,1992
32,Ryan Giggs,9,1992
32,Mick Harford,9,1992
32,John Hendrie,9,1992
32,Brian McClair,9,1992
32,Garry Parker,9,1992
32,David Phillips,9,1992
32,Niall Quinn,9,1992
32,Graham Stuart,9,1992
1,Andrew Cole,34,1993
2,Alan Shearer,31,1993
3,Matthew Le Tissier,25,1993
3,Chris Sutton,25,1993
5,Ian Wright,23,1993
6,Peter Beardsley,21,1993
7,Mark Bright,19,1993
8,Eric Cantona,18,1993
9,Dean Holdsworth,17,1993
9,Rod Wallace,17,1993
11,Tony Cottee,16,1993
11,Les Ferdinand,16,1993
13,Kevin Campbell,15,1993
14,Ian Rush,14,1993
15,Ryan Giggs,13,1993
15,Trevor Morley,13,1993
15,Teddy Sheringham,13,1993
15,Mark Stein,13,1993
19,Efan Ekoku,12,1993
19,Jan Åge Fjørtoft,12,1993
19,Robbie Fowler,12,1993
19,Mark Hughes,12,1993
19,Gordon Watson,12,1993
24,Brian Deane,11,1993
24,John Fashanu,11,1993
24,Peter Ndlovu,11,1993
27,Ian Marshall,10,1993
27,Dean Saunders,10,1993
27,Gary Speed,10,1993
30,Robbie Earle,9,1993
30,Jostein Flo,9,1993
30,Ruel Fox,9,1993
