Rank,Player,Nationality,Number_of_Goals,Number_of_Assists,Combined_Goals_and_Assists,New_Rank
1,Alan Shearer,England,260,64,324,1
2,Wayne Rooney,England,208,103,311,2
3,Andrew Cole,England,187,73,260,5
4,Sergio Aguero,Argentina,180,46,226,7
5,Frank Lampard,England,177,102,279,3
6,Thierry Henry,France,175,74,249,6
7,Robbie Fowler,England,163,39,202,10
8,Jermain Defoe,England,162,33,195,13
9,Michael Owen,England,150,31,181,16
10,Les Ferdinand,England,149,49,198,11
11,Teddy Sheringham,England,146,76,222,8
12,Robin van Persie,Netherlands,144,53,197,12
13,Harry Kane,England,136,20,156,26
14,Jimmy Floyd Hasselbaink,Netherlands,127,58,185,14
15,Robbie Keane,Ireland,126,37,163,22
16,Nicolas Anelka,France,125,48,173,17
17,Dwight Yorke,Trinidad And Tobago,123,50,173,18
18,Steven Gerrard,England,120,92,212,9
19,Romelu Lukaku,Belgium,113,35,148,28
19,Ian Wright,England,113,22,135,34
21,Dion Dublin,England,111,40,151,27
22,Emile Heskey,England,110,53,163,21
23,Ryan Giggs,Wales,109,162,271,4
24,Peter Crouch,England,108,58,166,19
25,Paul Scholes,England,107,55,162,23
26,Darren Bent,England,106,15,121,45
27,Didier Drogba,Cote D'Ivoire,104,54,158,25
28,Matthew Le Tissier,England,100,64,164,20
29,Jamie Vardy,England,99,28,127,39
30,Emmanuel Adebayor,Togo,97,36,133,36
31,Yakubu,Nigeria,95,26,121,46
31,Ruud van Nistelrooy,Netherlands,95,14,109,61
33,Dimitar Berbatov,Bulgaria,94,40,134,35
34,Mark Viduka,Australia,92,28,120,47
34,Kevin Phillips,England,92,0,92,83
36,James Beattie,England,91,37,128,37
36,Ole Gunnar Solskjaer,Norway,91,37,128,38
38,Kevin Davies,England,88,55,143,30
39,Dennis Bergkamp,Netherlands,87,94,181,15
40,Eden Hazard,Belgium,85,54,139,32
40,Fernando Torres,Spain,85,29,114,54
40,Louis Saha,France,85,20,105,66
43,Carlos Tevez,Argentina,84,36,120,48
43,Cristiano Ronaldo,Portugal,84,34,118,50
45,Chris Sutton,England,83,41,124,41
45,Kevin Campbell,England,83,36,119,49
47,Craig Bellamy,Wales,81,31,112,57
48,Gary Speed,Wales,80,44,124,42
48,Sadio Mané,Senegal,80,29,109,60
48,Olivier Giroud,France,80,28,108,62
51,Tony Cottee,England,78,0,78,102
52,Raheem Sterling,England,77,44,121,44
53,Daniel Sturridge,England,76,0,76,105
54,Theo Walcott,England,74,50,124,43
54,Gabriel Agbonlahor,England,74,34,108,63
56,Mohamed Salah,Egypt,72,0,72,112
57,Brian Deane,England,71,41,112,56
57,Chris Armstrong,England,71,0,71,114
57,Christian Benteke,Belgium,71,0,71,115
60,Eric Cantona,France,70,56,126,40
61,Kevin Nolan,England,69,0,69,119
61,Luis Suárez,Uruguay,69,0,69,120
63,Duncan Ferguson,Scotland,68,0,68,122
64,Paolo Di Canio,Italy,66,49,115,53
65,Mark Hughes,Wales,64,33,97,74
66,Alexis Sánchez,Chile,63,31,94,81
66,Dean Holdsworth,England,63,0,63,129
68,David Beckham,England,62,80,142,31
68,Robert Pires,France,62,41,103,68
68,Yaya Touré,Cote D'Ivoire,62,32,94,82
68,Stan Collymore,England,62,29,91,85
72,Gylfi Sigurdsson,Iceland,60,44,104,67
73,Gianfranco Zola,Italy,59,42,101,71
73,Niall Quinn,Ireland,59,37,96,77
75,Peter Beardsley,England,58,33,91,86
76,David Silva,Spain,57,90,147,29
76,Lee Bowyer,England,57,38,95,78
76,Harry Kewell,Australia,57,38,95,79
76,Clint Dempsey,United States,57,0,57,132
80,Roberto Firmino,Brazil,56,34,90,87
80,Tim Cahill,Australia,56,0,56,133
80,Jason Euell,Jamaica,56,0,56,134
80,Kevin Gallacher,Scotland,56,0,56,135
84,James Milner,England,55,84,139,33
84,Eidur Gudjohnsen,Iceland,55,28,83,94
84,John Hartson,Wales,55,0,55,136
84,Shane Long,Ireland,55,0,55,137
88,Damien Duff,Ireland,54,55,109,59
88,Kanu,Nigeria,54,29,83,95
88,Gustavo Poyet,Uruguay,54,0,54,138
91,Gareth Barry,England,53,64,117,51
91,Nick Barmby,England,53,50,103,69
91,Riyad Mahrez,Algeria,53,39,92,84
91,Andy Carroll,England,53,0,53,139
91,Steven Fletcher,Scotland,53,0,53,140
91,Chicharito,Mexico,53,0,53,141
97,Trevor Sinclair,England,52,45,97,73
97,Carlton Cole,England,52,0,52,142
97,Diego Costa,Spain,52,0,52,143
97,Efan Ekoku,Nigeria,52,0,52,144
97,Darius Vassell,England,52,0,52,145
102,Christian Eriksen,Denmark,51,62,113,55
102,Juan Mata,Spain,51,52,103,70
102,Dirk Kuyt,Netherlands,51,27,78,103
102,Andrew Johnson,England,51,0,51,146
102,Son Heung-Min,South Korea,51,0,51,147
107,Cesc Fàbregas,Spain,50,111,161,24
107,Danny Murphy,England,50,55,105,64
107,Dele Alli,England,50,33,83,96
107,Mark Bright,England,50,0,50,148
107,Edin Dzeko,Bosnia And Herzegovina,50,0,50,149
107,Paulo Wanchope,Costa Rica,50,0,50,150
113,Nolberto Solano,Peru,49,62,111,58
113,Gary McAllister,Scotland,49,47,96,75
113,Pierre-Emerick Aubameyang,Gabon,49,0,49,151
116,Ashley Young,England,48,69,117,52
116,Fredrik Ljungberg,Sweden,48,29,77,104
116,Ian Rush,Wales,48,0,48,152
119,Bobby Zamora,England,47,34,81,98
120,Paul Merson,England,46,43,89,88
120,Joe Cole,England,46,36,82,97
120,Mark Noble,England,46,33,79,100
120,Joshua King,Norway,46,0,46,153
124,Graham Stuart,England,45,34,79,101
124,Alan Smith,England,45,31,76,107
124,Robbie Earle,Jamaica,45,0,45,154
124,Anthony Martial,France,45,0,45,155
124,Dean Saunders,Wales,45,0,45,156
124,Rod Wallace,England,45,0,45,157
130,Leon Osman,England,44,27,71,116
130,Juan Pablo Ángel,Colombia,44,0,44,158
130,Noel Whelan,England,44,0,44,159
133,Marko Arnautovic,Austria,43,33,76,108
133,Shola Ameobi,Nigeria,43,0,43,160
133,Demba Ba,Senegal,43,0,43,161
133,Troy Deeney,England,43,0,43,162
133,David Hirst,England,43,0,43,163
133,Frederic Kanoute,Mali,43,0,43,164
133,Jonathan Walters,Ireland,43,0,43,165
140,Paul Ince,England,42,29,71,117
140,Gareth Bale,Wales,42,0,42,166
140,Julian Joachim,England,42,0,42,167
140,Andrei Kanchelskis,Russia,42,0,42,168
140,Marian Pahars,Latvia,42,0,42,169
140,Danny Welbeck,England,42,0,42,170
146,Steve McManaman,England,41,59,100,72
146,Mikel Arteta,Spain,41,42,83,93
146,Philippe Coutinho,Brazil,41,35,76,109
146,Marcus Rashford,England,41,0,41,171
146,John Terry,England,41,0,41,172
146,Callum Wilson,England,41,0,41,173
152,Aaron Ramsey,Wales,40,46,86,90
152,Marcus Bent,England,40,0,40,174
152,Steffen Iversen,Norway,40,0,40,175
152,Kenwyne Jones,Trinidad And Tobago,40,0,40,176
152,Ayoze Pérez,Spain,40,0,40,177
152,Matthew Taylor,England,40,0,40,178
158,Steed Malbranque,France,39,55,94,80
158,Roy Keane,Ireland,39,33,72,113
160,Patrik Berger,Czech Republic,38,31,69,121
160,Ashley Barnes,England,38,0,38,179
160,John Carew,Norway,38,0,38,180
160,Tore Andre Flo,Norway,38,0,38,181
160,Darren Huckerby,England,38,0,38,182
160,Jay Rodriguez,England,38,0,38,183
160,Dean Sturridge,England,38,0,38,184
160,David Unsworth,England,38,0,38,185
168,Darren Anderton,England,37,68,105,65
168,Stewart Downing,England,37,59,96,76
168,Tim Sherwood,England,37,28,65,125
168,Don Hutchison,Scotland,37,27,64,127
168,Papiss Demba Cissé,Senegal,37,0,37,186
168,Gabriel Jesus,Brazil,37,0,37,187
168,Kevin Doyle,Ireland,37,0,37,188
168,David Dunn,England,37,0,37,189
168,Marouane Fellaini,Belgium,37,0,37,190
168,Benni McCarthy,South Africa,37,0,37,191
168,Glenn Murray,England,37,0,37,192
179,Ruel Fox,Montserrat,36,44,80,99
179,Samir Nasri,France,36,40,76,106
179,Paul Dickov,Scotland,36,0,36,193
179,Danny Ings,England,36,0,36,194
179,Salomon Kalou,Cote D'Ivoire,36,0,36,195
179,Brian McBride,United States,36,0,36,196
179,Peter Odemwingie,Nigeria,36,0,36,197
179,Jason Roberts,Grenada,36,0,36,198
179,John Spencer,Scotland,36,0,36,199
188,Benito Carbone,Italy,35,35,70,118
188,Wilfried Bony,Cote D'Ivoire,35,0,35,200
188,Florent Malouda,France,35,0,35,201
188,Tomasz Radzinski,Canada,35,0,35,202
188,Salomón Rondón,Venezuela,35,0,35,203
188,Wilfried Zaha,Cote D'Ivoire,35,0,35,204
194,Aaron Lennon,England,34,50,84,92
194,Morten Gamst Pedersen,Norway,34,39,73,110
194,Dennis Wise,England,34,39,73,111
194,Robert Lee,England,34,32,66,124
194,Muzzy Izzet,Turkey,34,27,61,131
194,Charlie Austin,England,34,0,34,205
194,Mikael Forssell,Finland,34,0,34,206
